Date,variable,value
22/03/20,Predicted_I,18932.34622
23/03/20,Predicted_I,22066.01383
24/03/20,Predicted_I,25622.10342
25/03/20,Predicted_I,29624.76366
26/03/20,Predicted_I,34088.5547
27/03/20,Predicted_I,39015.01696
28/03/20,Predicted_I,44389.36884
29/03/20,Predicted_I,50177.82964
30/03/20,Predicted_I,56326.15163
31/03/20,Predicted_I,62759.92707
01/04/20,Predicted_I,69387.06804
02/04/20,Predicted_I,76102.52823
03/04/20,Predicted_I,82794.89776
04/04/20,Predicted_I,89354.06472
05/04/20,Predicted_I,95678.84456
06/04/20,Predicted_I,101683.4432
07/04/20,Predicted_I,107301.8708
08/04/20,Predicted_I,112489.8798
09/04/20,Predicted_I,117224.5118
10/04/20,Predicted_I,121501.7499
11/04/20,Predicted_I,125332.9854
12/04/20,Predicted_I,128741.0222
13/04/20,Predicted_I,131756.2042
14/04/20,Predicted_I,134413.0478
15/04/20,Predicted_I,136747.5629
16/04/20,Predicted_I,138795.2897
17/04/20,Predicted_I,140589.9818
18/04/20,Predicted_I,142162.817
19/04/20,Predicted_I,143542.0092
20/04/20,Predicted_I,144752.7017
21/04/20,Predicted_I,145817.0478
22/04/20,Predicted_I,146754.4025
23/04/20,Predicted_I,147581.5731
24/04/20,Predicted_I,148313.092
25/04/20,Predicted_I,148961.4896
26/04/20,Predicted_I,149537.5514
27/04/20,Predicted_I,150050.554
27/01/20,Predicted_R,0
28/01/20,Predicted_R,0.07
29/01/20,Predicted_R,0.153444712
30/01/20,Predicted_R,0.25291639
31/01/20,Predicted_R,0.371493231
01/02/20,Predicted_R,0.512844623
02/02/20,Predicted_R,0.681344672
03/02/20,Predicted_R,0.882207539
04/02/20,Predicted_R,1.121648752
05/02/20,Predicted_R,1.407077491
06/02/20,Predicted_R,1.747325782
07/02/20,Predicted_R,2.15292169
08/02/20,Predicted_R,2.636414935
09/02/20,Predicted_R,3.212764997
10/02/20,Predicted_R,3.899803677
11/02/20,Predicted_R,4.718786391
12/02/20,Predicted_R,5.695049178
13/02/20,Predicted_R,6.858791668
14/02/20,Predicted_R,8.246010097
15/02/20,Predicted_R,9.899609047
16/02/20,Predicted_R,11.87072605
17/02/20,Predicted_R,14.22030961
18/02/20,Predicted_R,17.02099904
19/02/20,Predicted_R,20.35936326
20/02/20,Predicted_R,24.33856704
21/02/20,Predicted_R,29.08154523
22/02/20,Predicted_R,34.73478129
23/02/20,Predicted_R,41.47280349
24/02/20,Predicted_R,49.50353366
25/02/20,Predicted_R,59.07464719
26/02/20,Predicted_R,70.48113221
27/02/20,Predicted_R,84.07426847
28/02/20,Predicted_R,100.2722855
29/02/20,Predicted_R,119.5730035
01/03/20,Predicted_R,142.5688109
02/03/20,Predicted_R,169.96439
03/03/20,Predicted_R,202.5976633
04/03/20,Predicted_R,241.4645067
05/03/20,Predicted_R,287.747842
06/03/20,Predicted_R,342.8518051
07/03/20,Predicted_R,408.4417494
08/03/20,Predicted_R,486.4909141
09/03/20,Predicted_R,579.3346235
10/03/20,Predicted_R,689.7328915
11/03/20,Predicted_R,820.94225
12/03/20,Predicted_R,976.7974764
13/03/20,Predicted_R,1161.803617
14/03/20,Predicted_R,1381.238233
15/03/20,Predicted_R,1641.263075
16/03/20,Predicted_R,1949.043291
17/03/20,Predicted_R,2312.870766
18/03/20,Predicted_R,2742.28607
19/03/20,Predicted_R,3248.190763
20/03/20,Predicted_R,3842.938324
21/03/20,Predicted_R,4540.387877
22/03/20,Predicted_R,5355.90026
23/03/20,Predicted_R,6306.251477
24/03/20,Predicted_R,7409.434842
25/03/20,Predicted_R,8684.321643
26/03/20,Predicted_R,10150.15258
27/03/20,Predicted_R,11825.84073
28/03/20,Predicted_R,13729.08307
29/03/20,Predicted_R,15875.30307
30/03/20,Predicted_R,18276.47993
31/03/20,Predicted_R,20939.95695
01/04/20,Predicted_R,23867.35486
02/04/20,Predicted_R,27053.73478
03/04/20,Predicted_R,30487.15032
04/04/20,Predicted_R,34148.69264
05/04/20,Predicted_R,38013.06869
06/04/20,Predicted_R,42049.673
07/04/20,Predicted_R,46224.03691
08/04/20,Predicted_R,50499.48529
09/04/20,Predicted_R,54838.8129
10/04/20,Predicted_R,59205.81182
11/04/20,Predicted_R,63566.52749
12/04/20,Predicted_R,67890.17954
13/04/20,Predicted_R,72149.73853
14/04/20,Predicted_R,76322.19112
15/04/20,Predicted_R,80388.55109
